subject	run	trial	texture	category	image	responseKey	responseTime	trialOnset	itiOnset	trialEnd	triggerDate	triggerTimeStamp
003	09	1	108	kitchen	SHINEd_sun_aymvwlarqodbwuoc.tif	none	NaN	29120.474625	29120.724785	29122.721084	04-Nov-2024 17:06:29	29114.456911
003	09	2	78	kitchen	SHINEd_sun_adgqasybjyktddhj.tif	none	NaN	29122.725813	29122.977087	29124.971868	04-Nov-2024 17:06:29	29114.456911
003	09	3	113	livingroom	SHINEd_livingroom_004.tif	none	NaN	29124.977740	29125.228387	29127.224408	04-Nov-2024 17:06:29	29114.456911
003	09	4	82	kitchen	SHINEd_sun_aenotlpyftoioydp.tif	none	NaN	29127.230208	29127.480743	29129.478218	04-Nov-2024 17:06:29	29114.456911
003	09	5	66	kitchen	SHINEd_sun_aapllqyqlykszopd.tif	none	NaN	29129.485988	29129.738404	29131.732629	04-Nov-2024 17:06:29	29114.456911
003	09	6	97	kitchen	SHINEd_sun_ajkqhtgcbgpcwrwn.tif	none	NaN	29131.739020	29131.989696	29133.985064	04-Nov-2024 17:06:29	29114.456911
003	09	7	91	kitchen	SHINEd_sun_ahljzhgcdpomplvg.tif	none	NaN	29133.989558	29134.240921	29136.235625	04-Nov-2024 17:06:29	29114.456911
003	09	8	100	kitchen	SHINEd_sun_amjjdeyrggfqgmom.tif	none	NaN	29136.243619	29136.493785	29138.490057	04-Nov-2024 17:06:29	29114.456911
003	09	9	69	kitchen	SHINEd_sun_abdenxonkemggwsq.tif	none	NaN	29138.494157	29138.745498	29140.740528	04-Nov-2024 17:06:29	29114.456911
003	09	10	67	kitchen	SHINEd_sun_aarfiyshqohlwkmo.tif	none	NaN	29140.744593	29140.995051	29142.990500	04-Nov-2024 17:06:29	29114.456911
003	09	11	71	kitchen	SHINEd_sun_abftihopvusyfakt.tif	none	NaN	29142.994606	29143.245226	29145.240660	04-Nov-2024 17:06:29	29114.456911
003	09	12	141	livingroom	SHINEd_livingroom_048.tif	6	29146.100169	29145.245173	29145.496335	29147.491100	04-Nov-2024 17:06:29	29114.456911
003	09	13	106	kitchen	SHINEd_sun_awcpdzzznmweyyhv.tif	none	NaN	29147.495446	29147.746138	29149.741795	04-Nov-2024 17:06:29	29114.456911
003	09	14	63	kitchen	SHINEd_labelme_rykdqxenmhulbdn.tif	none	NaN	29149.746524	29149.997121	29151.992786	04-Nov-2024 17:06:29	29114.456911
