subject	run	trial	texture	category	image	trialOnset	itiOnset	trialEnd	triggerDate	triggerTimeStamp	Onsets	responseKey	responseTime	accuracy
128	1	1	13	bathroom	sun_aavhrsfjbserjtht.tif	24510.467655	24510.726047	24512.712018	16-Jun-2025 14:14:45	24506.416235	4.051420	none	NaN	NaN
128	1	2	49	bathroom	sun_asfwthctfqerjvxr.tif	24512.726066	24512.984098	24514.969865	16-Jun-2025 14:14:45	24506.416235	6.309832	none	NaN	NaN
128	1	3	25	bathroom	sun_agyqfjcfkdcydepw.tif	24514.983886	24515.242253	24517.227863	16-Jun-2025 14:14:45	24506.416235	8.567652	5	24519.231687	1.000000
128	1	4	38	bathroom	sun_anhioqovhscjqqwb.tif	24524.275499	24524.534317	24526.520001	16-Jun-2025 14:14:45	24506.416235	17.859264	none	NaN	NaN
128	1	5	37	bathroom	sun_amzlamotzwfkwjco.tif	24526.533816	24526.792168	24528.778427	16-Jun-2025 14:14:45	24506.416235	20.117582	none	NaN	NaN
128	1	6	16	bathroom	sun_acduarbnmmoglmiv.tif	24528.792166	24529.050851	24531.036231	16-Jun-2025 14:14:45	24506.416235	22.375931	none	NaN	NaN
128	1	7	41	bathroom	sun_aoybiabnpadelefl.tif	24531.050458	24531.308783	24533.294872	16-Jun-2025 14:14:45	24506.416235	24.634223	none	NaN	NaN
128	1	8	55	bathroom	sun_avhrdrntsqrjzccq.tif	24533.300443	24533.559239	24535.544879	16-Jun-2025 14:14:45	24506.416235	26.884208	none	NaN	NaN
128	1	9	60	bathroom	sun_azqyogdvyhahyram.tif	24535.550360	24535.809123	24537.794978	16-Jun-2025 14:14:45	24506.416235	29.134125	5	24539.241978	1.000000
128	1	10	29	bathroom	sun_ahqjwnzgolcaoidx.tif	24544.825345	24545.083670	24547.069994	16-Jun-2025 14:14:45	24506.416235	38.409110	none	NaN	NaN
128	1	11	15	bathroom	sun_abjtwfukuwddzted.tif	24547.083649	24547.341978	24549.327850	16-Jun-2025 14:14:45	24506.416235	40.667414	none	NaN	NaN
128	1	12	39	bathroom	sun_anryaplzeujmzfkd.tif	24549.333617	24549.591965	24551.577486	16-Jun-2025 14:14:45	24506.416235	42.917383	5	24552.515385	1.000000
128	1	13	17	bathroom	sun_acegryoqftbzowsg.tif	24558.608553	24558.866894	24560.853009	16-Jun-2025 14:14:45	24506.416235	52.192318	none	NaN	NaN
128	1	14	30	bathroom	sun_ajlawzvmubibwbpy.tif	24560.858483	24561.116868	24563.102989	16-Jun-2025 14:14:45	24506.416235	54.442248	none	NaN	NaN
128	1	15	23	bathroom	sun_aghyqhbptboemmoq.tif	24563.108470	24563.366849	24565.352933	16-Jun-2025 14:14:45	24506.416235	56.692236	none	NaN	NaN
128	1	16	53	bathroom	sun_ausgutylgojavyoq.tif	24565.358440	24565.616833	24567.602288	16-Jun-2025 14:14:45	24506.416235	58.942206	none	NaN	NaN
128	1	17	59	bathroom	sun_axyrejkiiaqiurjk.tif	24567.608482	24567.866811	24569.852805	16-Jun-2025 14:14:45	24506.416235	61.192247	none	NaN	NaN
128	1	18	58	bathroom	sun_axxbkopsgyouuebh.tif	24569.858406	24570.116804	24572.102450	16-Jun-2025 14:14:45	24506.416235	63.442171	none	NaN	NaN
128	1	19	14	bathroom	sun_abapwbhyhkfixyex.tif	24572.108916	24572.367253	24574.352785	16-Jun-2025 14:14:45	24506.416235	65.692681	none	NaN	NaN
128	1	20	33	bathroom	sun_aljolscmmzydegqp.tif	24574.358359	24574.616770	24576.602539	16-Jun-2025 14:14:45	24506.416235	67.942125	none	NaN	NaN
128	1	21	46	bathroom	sun_apmqjbnwghzuhhzh.tif	24576.608419	24576.867218	24578.852567	16-Jun-2025 14:14:45	24506.416235	70.192185	none	NaN	NaN
128	1	22	18	bathroom	sun_acgyywnybuveqsro.tif	24578.858746	24579.116728	24581.102554	16-Jun-2025 14:14:45	24506.416235	72.442512	none	NaN	NaN
128	1	23	19	bathroom	sun_aclfzgynxzxlbepz.tif	24581.108837	24581.367074	24583.353032	16-Jun-2025 14:14:45	24506.416235	74.692602	6	24584.970118	1.000000
128	1	24	11	bathroom	labelme_sfxiulhjbhlyiyt.tif	24590.383295	24590.642052	24592.627241	16-Jun-2025 14:14:45	24506.416235	83.967060	6	24593.989976	0.000000
128	1	25	27	bathroom	sun_ahcvzmoyaycdoftf.tif	24599.658223	24599.917001	24601.902607	16-Jun-2025 14:14:45	24506.416235	93.241988	none	NaN	NaN
128	1	26	21	bathroom	sun_aggnnqpdorgxpvce.tif	24601.908132	24602.166513	24604.152718	16-Jun-2025 14:14:45	24506.416235	95.491897	none	NaN	NaN
128	1	27	42	bathroom	sun_apeeialkgkuxddgh.tif	24604.166509	24604.424835	24606.410997	16-Jun-2025 14:14:45	24506.416235	97.750274	5	24607.436486	0.000000
128	1	28	56	bathroom	sun_awnqiikzaispgmwo.tif	24613.441423	24613.699760	24615.685971	16-Jun-2025 14:14:45	24506.416235	107.025188	none	NaN	NaN
128	1	29	44	bathroom	sun_apkruvsevgegsdwp.tif	24615.699741	24615.958070	24617.943957	16-Jun-2025 14:14:45	24506.416235	109.283506	none	NaN	NaN
128	1	30	20	bathroom	sun_afcoljnjfoxjtgja.tif	24617.949664	24618.208046	24620.193471	16-Jun-2025 14:14:45	24506.416235	111.533430	none	NaN	NaN
128	1	31	28	bathroom	sun_ahijqszoswveeyji.tif	24620.199666	24620.458037	24622.443731	16-Jun-2025 14:14:45	24506.416235	113.783431	none	NaN	NaN
128	1	32	26	bathroom	sun_ahaulkltgpkeeemi.tif	24622.449636	24622.708020	24624.694208	16-Jun-2025 14:14:45	24506.416235	116.033401	5	24625.938868	1.000000
128	1	33	22	bathroom	sun_agguqiubmwhqqunb.tif	24631.716820	24631.974603	24633.960782	16-Jun-2025 14:14:45	24506.416235	125.300585	none	NaN	NaN
128	1	34	47	bathroom	sun_apynckhmoftszqoq.tif	24633.966616	24634.225009	24636.210487	16-Jun-2025 14:14:45	24506.416235	127.550381	none	NaN	NaN
128	1	35	45	bathroom	sun_apkxzenqapsujocq.tif	24636.216240	24636.474939	24638.460475	16-Jun-2025 14:14:45	24506.416235	129.800006	none	NaN	NaN
128	1	36	34	bathroom	sun_alkosphxlxwjwgjd.tif	24638.466702	24638.724548	24640.710986	16-Jun-2025 14:14:45	24506.416235	132.050467	none	NaN	NaN
128	1	37	12	bathroom	sun_aapitsgbtktqubfy.tif	24640.724532	24640.983362	24642.968633	16-Jun-2025 14:14:45	24506.416235	134.308297	none	NaN	NaN
128	1	38	52	bathroom	sun_aunuadmjocsddsrl.tif	24642.974883	24643.233338	24645.218799	16-Jun-2025 14:14:45	24506.416235	136.558648	none	NaN	NaN
128	1	39	50	bathroom	sun_aspsyogrekjtfozg.tif	24645.233310	24645.491652	24647.477272	16-Jun-2025 14:14:45	24506.416235	138.817076	none	NaN	NaN
128	1	40	54	bathroom	sun_auzqhkafidnkrwmo.tif	24647.482757	24647.741603	24649.727297	16-Jun-2025 14:14:45	24506.416235	141.066522	none	NaN	NaN
128	1	41	31	bathroom	sun_akiytfaagpdsphgz.tif	24649.732784	24649.991501	24651.977413	16-Jun-2025 14:14:45	24506.416235	143.316549	none	NaN	NaN
128	1	42	48	bathroom	sun_aqrpegblszgcoujh.tif	24651.982769	24652.241575	24654.226984	16-Jun-2025 14:14:45	24506.416235	145.566535	none	NaN	NaN
128	1	43	35	bathroom	sun_alotolagknyrgtsk.tif	24654.232732	24654.491556	24656.476603	16-Jun-2025 14:14:45	24506.416235	147.816498	6	24657.951737	1.000000
128	1	44	24	bathroom	sun_agrwbmhcpmfuwmsg.tif	24663.499326	24663.757655	24665.743174	16-Jun-2025 14:14:45	24506.416235	157.083091	none	NaN	NaN
128	1	45	40	bathroom	sun_aofnryafpsjimzsb.tif	24665.749308	24666.007636	24667.993200	16-Jun-2025 14:14:45	24506.416235	159.333073	none	NaN	NaN
128	1	46	36	bathroom	sun_ambriybtogmepttm.tif	24667.999283	24668.257618	24670.243355	16-Jun-2025 14:14:45	24506.416235	161.583048	none	NaN	NaN
128	1	47	57	bathroom	sun_axldvoqbuvuggfmq.tif	24670.249271	24670.507600	24672.493811	16-Jun-2025 14:14:45	24506.416235	163.833036	none	NaN	NaN
128	1	48	43	bathroom	sun_apjevzvycyhuqghb.tif	24672.499186	24672.757590	24674.743619	16-Jun-2025 14:14:45	24506.416235	166.082952	none	NaN	NaN
128	1	49	32	bathroom	sun_aleqenyvunhactkl.tif	24674.749192	24675.007563	24676.993727	16-Jun-2025 14:14:45	24506.416235	168.332957	5	24677.969217	1.000000
128	1	50	51	bathroom	sun_atstyziqcmkahyxk.tif	24684.015912	24684.274149	24686.260288	16-Jun-2025 14:14:45	24506.416235	177.599677	none	NaN	NaN
128	1	51	59	bathroom	sun_axyrejkiiaqiurjk.tif	24686.265784	24686.524126	24688.509566	16-Jun-2025 14:14:45	24506.416235	179.849549	6	24689.862861	1.000000
128	1	52	11	bathroom	labelme_sfxiulhjbhlyiyt.tif	24695.532380	24695.790714	24697.776372	16-Jun-2025 14:14:45	24506.416235	189.116145	none	NaN	NaN
128	1	53	25	bathroom	sun_agyqfjcfkdcydepw.tif	24697.782220	24698.041083	24700.026537	16-Jun-2025 14:14:45	24506.416235	191.365985	none	NaN	NaN
128	1	54	16	bathroom	sun_acduarbnmmoglmiv.tif	24700.032312	24700.291059	24702.276646	16-Jun-2025 14:14:45	24506.416235	193.616078	none	NaN	NaN
128	1	55	21	bathroom	sun_aggnnqpdorgxpvce.tif	24702.282661	24702.540678	24704.526518	16-Jun-2025 14:14:45	24506.416235	195.866427	none	NaN	NaN
128	1	56	51	bathroom	sun_atstyziqcmkahyxk.tif	24704.532291	24704.791116	24706.776744	16-Jun-2025 14:14:45	24506.416235	198.116057	none	NaN	NaN
