subject	run	trial	texture	category	image	responseKey	responseTime	trialOnset	itiOnset	trialEnd	date	triggerTimeStamp
1111111	2	1	28	bathroom	SHINEd_sun_ahijqszoswveeyji.tif	none	NaN	1284828.046527	1284828.286956	1284830.285066	16-Oct-2024 15:31:20	1284822.032286
1111111	2	2	43	bathroom	SHINEd_sun_apjevzvycyhuqghb.tif	none	NaN	1284830.287692	1284830.527920	1284832.526044	16-Oct-2024 15:31:22	1284822.032286
1111111	2	3	49	bathroom	SHINEd_sun_asfwthctfqerjvxr.tif	none	NaN	1284832.528571	1284832.768859	1284834.767001	16-Oct-2024 15:31:25	1284822.032286
1111111	2	4	21	bathroom	SHINEd_sun_aggnnqpdorgxpvce.tif	none	NaN	1284834.771580	1284835.012574	1284837.009985	16-Oct-2024 15:31:27	1284822.032286
1111111	2	5	23	bathroom	SHINEd_sun_aghyqhbptboemmoq.tif	none	NaN	1284837.012731	1284837.253061	1284839.251091	16-Oct-2024 15:31:29	1284822.032286
1111111	2	6	14	bathroom	SHINEd_sun_abapwbhyhkfixyex.tif	none	NaN	1284839.253666	1284839.493871	1284841.492051	16-Oct-2024 15:31:31	1284822.032286
1111111	2	7	16	bathroom	SHINEd_sun_acduarbnmmoglmiv.tif	none	NaN	1284841.494670	1284841.736705	1284843.733732	16-Oct-2024 15:31:34	1284822.032286
1111111	2	8	40	bathroom	SHINEd_sun_aofnryafpsjimzsb.tif	none	NaN	1284843.738251	1284843.980551	1284845.976771	16-Oct-2024 15:31:36	1284822.032286
1111111	2	9	31	bathroom	SHINEd_sun_akiytfaagpdsphgz.tif	none	NaN	1284845.979270	1284846.221866	1284848.217718	16-Oct-2024 15:31:38	1284822.032286
1111111	2	10	34	bathroom	SHINEd_sun_alkosphxlxwjwgjd.tif	none	NaN	1284848.222739	1284848.463063	1284850.461245	16-Oct-2024 15:31:40	1284822.032286
1111111	2	11	47	bathroom	SHINEd_sun_apynckhmoftszqoq.tif	none	NaN	1284850.465051	1284850.705392	1284852.703512	16-Oct-2024 15:31:42	1284822.032286
1111111	2	12	55	bathroom	SHINEd_sun_avhrdrntsqrjzccq.tif	none	NaN	1284852.706175	1284852.946570	1284854.944559	16-Oct-2024 15:31:45	1284822.032286
1111111	2	13	132	livingroom	SHINEd_livingroom_030.tif	none	NaN	1284854.947033	1284855.189014	1284857.185566	16-Oct-2024 15:31:47	1284822.032286
1111111	2	14	53	bathroom	SHINEd_sun_ausgutylgojavyoq.tif	none	NaN	1284857.190433	1284857.433425	1284859.428930	16-Oct-2024 15:31:49	1284822.032286
1111111	2	15	17	bathroom	SHINEd_sun_acegryoqftbzowsg.tif	none	NaN	1284859.434507	1284859.674871	1284861.674635	16-Oct-2024 15:31:51	1284822.032286
1111111	2	16	39	bathroom	SHINEd_sun_anryaplzeujmzfkd.tif	none	NaN	1284861.677022	1284861.919693	1284863.915557	16-Oct-2024 15:31:54	1284822.032286
1111111	2	17	11	bathroom	SHINEd_labelme_sfxiulhjbhlyiyt.tif	none	NaN	1284863.918233	1284864.160376	1284866.156714	16-Oct-2024 15:31:56	1284822.032286
1111111	2	18	56	bathroom	SHINEd_sun_awnqiikzaispgmwo.tif	none	NaN	1284866.162097	1284866.404831	1284868.400477	16-Oct-2024 15:31:58	1284822.032286
1111111	2	19	148	livingroom	SHINEd_livingroom_059.tif	none	NaN	1284868.405270	1284868.645574	1284870.643741	16-Oct-2024 15:32:00	1284822.032286
1111111	2	20	26	bathroom	SHINEd_sun_ahaulkltgpkeeemi.tif	none	NaN	1284870.647216	1284870.887801	1284872.885662	16-Oct-2024 15:32:03	1284822.032286
1111111	2	21	54	bathroom	SHINEd_sun_auzqhkafidnkrwmo.tif	none	NaN	1284872.889311	1284873.129839	1284875.127692	16-Oct-2024 15:32:05	1284822.032286
1111111	2	22	12	bathroom	SHINEd_sun_aapitsgbtktqubfy.tif	none	NaN	1284875.130226	1284875.372172	1284877.368646	16-Oct-2024 15:32:07	1284822.032286
1111111	2	23	118	livingroom	SHINEd_livingroom_010.tif	none	NaN	1284877.373750	1284877.614046	1284879.612105	16-Oct-2024 15:32:09	1284822.032286
1111111	2	24	35	bathroom	SHINEd_sun_alotolagknyrgtsk.tif	none	NaN	1284879.617586	1284879.859887	1284881.856100	16-Oct-2024 15:32:12	1284822.032286
1111111	2	25	52	bathroom	SHINEd_sun_aunuadmjocsddsrl.tif	none	NaN	1284881.860562	1284882.100963	1284884.099103	16-Oct-2024 15:32:14	1284822.032286
1111111	2	26	51	bathroom	SHINEd_sun_atstyziqcmkahyxk.tif	none	NaN	1284884.101907	1284884.342507	1284886.340350	16-Oct-2024 15:32:16	1284822.032286
1111111	2	27	38	bathroom	SHINEd_sun_anhioqovhscjqqwb.tif	none	NaN	1284886.343012	1284886.583312	1284888.581366	16-Oct-2024 15:32:18	1284822.032286
1111111	2	28	60	bathroom	SHINEd_sun_azqyogdvyhahyram.tif	none	NaN	1284888.583849	1284888.824260	1284890.822335	16-Oct-2024 15:32:21	1284822.032286
1111111	2	29	25	bathroom	SHINEd_sun_agyqfjcfkdcydepw.tif	none	NaN	1284890.824989	1284891.065474	1284893.063494	16-Oct-2024 15:32:23	1284822.032286
1111111	2	30	50	bathroom	SHINEd_sun_aspsyogrekjtfozg.tif	none	NaN	1284893.066072	1284893.306569	1284895.304412	16-Oct-2024 15:32:25	1284822.032286
1111111	2	31	32	bathroom	SHINEd_sun_aleqenyvunhactkl.tif	none	NaN	1284895.307000	1284895.550204	1284897.545514	16-Oct-2024 15:32:27	1284822.032286
